"","array_row","array_col","sizeFactor"
"7x15",7,15,0.795587639393839
"7x16",7,16,0.307303569305092
"7x17",7,17,0.331247157456214
"7x18",7,18,0.420746638683167
"8x13",8,13,0.255453316343352
"8x14",8,14,1.47343887636181
"8x15",8,15,1.9181291031961
"8x16",8,16,0.296405108491478
"8x17",8,17,1.70511373274819
"8x18",8,18,0.353209207277588
"8x19",8,19,0.316715876371395
"9x13",9,13,0.788321998851429
"9x14",9,14,2.65030751603801
"9x15",9,15,2.75268699640832
"9x16",9,16,1.34629016686965
"9x17",9,17,0.623689189288196
"9x18",9,18,0.582242012557633
"10x13",10,13,0.569527141608416
"10x15",10,15,1.18066658814154
"10x16",10,16,0.80202763896552
"10x17",10,17,0.573325090073767
"10x18",10,18,0.384583564165266
"11x12",11,12,0.285671775872009
"11x13",11,13,2.21090139141638
"11x14",11,14,2.30007061625504
"11x15",11,15,2.56295470133495
"11x16",11,16,1.1288163351798
"11x17",11,17,0.795257383005547
"12x12",12,12,0.722766105775598
"12x13",12,13,1.35537221754766
"12x14",12,14,1.91499166750734
"12x15",12,15,1.94719166536574
"12x16",12,16,2.77398853345311
"12x17",12,17,0.837695328900985
"13x11",13,11,0.400600998997396
"13x12",13,12,1.18743684410151
"13x13",13,13,1.77826552275472
"13x14",13,14,1.56723169063656
"13x15",13,15,1.52446348835283
"13x16",13,16,2.18183882924674
"13x17",13,17,0.503971248532585
"13x18",13,18,0.308954851246549
"14x7",14,7,1.31508093817612
"14x8",14,8,1.65821732561082
"14x9",14,9,0.712197901350275
"14x10",14,10,1.17769428064692
"14x11",14,11,0.838520969871713
"14x12",14,12,1.56178246022975
"14x13",14,13,0.873363018836449
"14x14",14,14,1.6530983515923
"14x15",14,15,1.93563269177555
"14x16",14,16,2.50416906421909
"14x17",14,17,0.564077911201609
"14x18",14,18,0.457074841395215
"15x5",15,5,0.454928174871321
"15x6",15,6,0.760910718623248
"15x7",15,7,1.84382141583055
"15x8",15,8,1.14285223168218
"15x9",15,9,2.62223572303324
"15x10",15,10,3.10556594729762
"15x11",15,11,0.716491234398063
"15x12",15,12,0.792945588287508
"15x13",15,13,2.22691882624851
"15x14",15,14,1.83539987792912
"15x15",15,15,1.39483785594848
"15x16",15,16,3.1290141508663
"15x17",15,17,1.19717940755611
"15x18",15,18,0.277580494358871
"16x3",16,3,0.276424596999852
"16x4",16,4,0.452451251959136
"16x5",16,5,1.42621221283615
"16x6",16,6,1.14846659028314
"16x7",16,7,2.24722959412842
"16x8",16,8,1.25596504467197
"16x9",16,9,1.7810727020552
"16x10",16,10,2.12569524323721
"16x11",16,11,2.69736905136952
"16x12",16,12,2.32038138413496
"16x13",16,13,2.00085832846308
"16x14",16,14,1.36841734488517
"16x15",16,15,3.45382130875084
"16x16",16,16,1.25117632704174
"16x17",16,17,0.600901498496094
"16x18",16,18,0.384088179582829
"16x19",16,19,0.417774331188545
"17x4",17,4,0.371703565021903
"17x5",17,5,1.28651376058892
"17x6",17,6,1.38856298457094
"17x7",17,7,1.14648505195339
"17x8",17,8,0.616258420551641
"17x9",17,9,1.83391372418181
"17x10",17,10,2.13279575558548
"17x11",17,11,2.90774237071111
"17x12",17,12,1.82334551975649
"17x13",17,13,1.94719166536574
"17x14",17,14,3.01226851760531
"17x15",17,15,0.606515857097046
"17x16",17,16,1.17521735773473
"17x17",17,17,0.532043041537349
"17x18",17,18,0.493733300495554
"17x19",17,19,0.266847161739403
"17x20",17,20,0.752489180721819
"17x21",17,21,0.469789712344432
"18x4",18,4,0.0866923019264768
"18x5",18,5,0.653082007846125
"18x6",18,6,0.865436865517457
"18x7",18,7,1.18479479299518
"18x8",18,8,2.03982858228146
"18x9",18,9,1.68810552875119
"18x10",18,10,2.44835573459785
"18x11",18,11,1.61165117486174
"18x12",18,12,0.680493288074307
"18x13",18,13,1.34529939770477
"18x14",18,14,2.98700390390103
"18x15",18,15,0.777753794426106
"18x16",18,16,0.80582558743087
"18x17",18,17,0.591158935041499
"18x18",18,18,0.45459791848303
"18x19",18,19,0.185934346608025
"18x20",18,20,0.712363029544421
"18x21",18,21,0.605359959738027
"18x22",18,22,0.854538404703843
"18x23",18,23,0.483165096070231
"18x24",18,24,0.490760993000932
"19x4",19,4,0.229693318056627
"19x5",19,5,0.0999025574581304
"19x6",19,6,1.11577120784229
"19x7",19,7,1.49705220812465
"19x8",19,8,1.04179377686503
